steps,entropy,kl,policy_loss,rewards,beta,critic_loss,value_func_loss
19.75,15.520917,0.012796149,-0.17192286,-5.091375585330656,1.5,0.00060457224,0.00034236786643248397
20.25,15.406401,0.013186099,-0.16899528,-5.257082884796045,2.25,0.0001755578,0.0005235149164313017
20.6,15.333214,0.011280016,-0.15224329,-4.026132438420109,3.375,0.0001371407,0.0005289974210000136
20.7,15.200163,0.007562863,-0.15252,-3.5620610246867352,5.0625,0.000121271405,0.0003730716922968364
20.8,15.131588,0.006456178,-0.13217777,-1.0784737184697029,7.59375,9.617247e-05,0.00044947473780851594
21.9,15.064049,0.0038564652,-0.10228585,-1.78103758398314,7.59375,8.6773274e-05,0.0005101255588173438
20.0,15.007389,0.003984351,-0.11061856,-1.725999746451589,7.59375,8.121166e-05,0.00022216803340092473
20.15,14.932784,0.0044134273,-0.12232507,-2.783094004498049,7.59375,9.295187e-05,0.00023855392252069855
20.3,14.875302,0.004504197,-0.120717764,-1.5165355923336452,7.59375,9.397921e-05,0.00023970751091075403
21.6,14.828488,0.0064621833,-0.18038921,1.294878709024252,11.390625,9.814621e-05,0.0010092838154964869
21.45,14.784932,0.0045455676,-0.15317911,-1.0237620312365847,11.390625,0.000111053385,0.0010350187430027788
20.85,14.796142,0.009750608,-0.7866821,-0.17661831222755925,17.0859375,9.502949e-05,0.0002593887686598634
21.3,14.756517,0.003921354,-0.17344369,-0.6672236547690525,17.0859375,8.401192e-05,0.00028308004417514234
21.05,14.753073,0.0026048152,-0.110059515,-1.7928406859789483,17.0859375,0.00011203251,0.00026933356499420546
21.05,14.74611,0.0020658148,-0.087893076,-0.8371643433184698,17.0859375,9.785659e-05,0.0002790885042681266
21.05,14.715004,0.002301882,-0.10027973,-2.0341213601351518,17.0859375,0.00011125377,0.00023671617711816157
21.5,14.713231,0.0020219935,-0.093231276,-0.16261585163096975,17.0859375,9.0599686e-05,0.0003084265497739638
20.4,14.689141,0.0019473281,-0.08754796,-0.15679120342258074,17.0859375,9.986264e-05,0.00024969043313801537
20.2,14.666671,0.0017067348,-0.082449086,0.20014895201373362,17.0859375,0.00010342288,0.0002553847752381258
20.75,14.640797,0.001976875,-0.09017374,0.9995615291715747,17.0859375,9.0657195e-05,0.00022626885095501187
20.6,14.627591,0.0027784677,-0.11623183,-2.5900861956033427,17.0859375,9.8161836e-05,0.000305165639548319
21.8,14.5904665,0.002002867,-0.095260315,-0.24666747199814348,17.0859375,0.000102585225,0.00040005510278630184
20.95,14.564607,0.0020790577,-0.09000394,-1.2808781593095742,17.0859375,0.000102938175,0.00027784201270971906
23.35,14.533908,0.0024347429,-0.11468747,0.9908604145472107,17.0859375,0.00010407057,0.00041504639797957906
20.45,14.51097,0.0029187237,-0.11751851,-0.3237264520966036,17.0859375,9.641318e-05,0.00022386736907741898
23.1,14.483086,0.0024553211,-0.11113784,1.5097174068502304,17.0859375,9.9789475e-05,0.0004361410380039392
23.45,14.464004,0.0019895292,-0.08941552,-0.4122987839285834,17.0859375,8.951065e-05,0.0003536472201540174
22.35,14.459848,0.0026144458,-0.11697501,-1.236422376572476,17.0859375,9.320383e-05,0.00030605264404114514
21.8,14.450166,0.002172934,-0.09533752,1.451859513951296,17.0859375,0.00010105415,0.00033782877716437537
22.4,14.434873,0.0021426785,-0.09064064,0.20601731174657895,17.0859375,0.000107195214,0.00032330760630767925
20.95,14.415692,0.002124898,-0.10553501,-0.01056462112562997,17.0859375,0.000102590835,0.00025197141913650716
22.2,14.409152,0.0028286774,-0.10720815,0.5533491262919125,17.0859375,0.0001072132,0.00039834296249736506
21.95,14.3915205,0.002360546,-0.09858771,0.791568919849831,17.0859375,9.874993e-05,0.00024819462309937323
22.35,14.36502,0.0030246645,-0.1262362,0.9791156099275959,17.0859375,0.00010028831,0.00025567883366371354
21.35,14.341363,0.0020292671,-0.0873804,1.7537493621526976,17.0859375,8.9181725e-05,0.00023464049830473118
22.5,14.334451,0.0029862637,-0.1237278,0.922787503940431,17.0859375,9.3107825e-05,0.00023214838516988094
22.2,14.318512,0.0029034615,-0.11917836,0.772667165004289,17.0859375,9.567893e-05,0.00018544292941129715
22.4,14.299595,0.002732543,-0.1058937,3.5992905229882814,17.0859375,9.9670564e-05,0.00039684491090443444
22.15,14.272995,0.0027214873,-0.11010983,2.906035819067088,17.0859375,0.00010190501,0.0001771413753405467
22.05,14.261256,0.0039806496,-0.13664907,-0.13261097047189666,17.0859375,9.7536686e-05,0.0003325091636076354
22.6,14.251608,0.0058026672,-0.27721477,1.8798841928285754,17.0859375,9.61508e-05,0.00026052239200746974
24.65,14.253521,0.006416735,-0.27582234,3.28953538878267,25.62890625,9.862604e-05,0.001032339860823629
22.0,14.243902,0.0016107971,-0.080718614,3.3088535492615856,25.62890625,8.732041e-05,0.0002697535115782794
24.5,14.236095,0.0015573209,-0.09302104,4.496425148254497,25.62890625,9.810041e-05,0.0005550789698916368
22.55,14.222289,0.0014434527,-0.082545646,2.064596654201508,17.0859375,9.417192e-05,0.00035736228267285557
23.85,14.197915,0.0045558983,-0.18986139,4.325605710387308,17.0859375,0.000103779,0.0005769093255854591
23.85,14.186063,0.0032907322,-0.12496386,2.5119259086407455,17.0859375,9.300425e-05,0.0005895691792488035
21.45,14.178163,0.002899281,-0.11299634,1.1932348767860748,17.0859375,9.433864e-05,0.0002792537337516048
22.4,14.15114,0.0031762484,-0.13213468,3.5837890981289235,17.0859375,0.00010086946,0.00027176763185729756
23.6,14.116651,0.0028448368,-0.118576474,5.524364363282434,17.0859375,9.910838e-05,0.0004985430671315917
22.85,14.104572,0.0027516321,-0.1116607,3.9728266547158264,17.0859375,0.000101745994,0.0005947276153242178
22.5,14.073734,0.0053936364,-0.24231097,3.476995246959126,17.0859375,9.536539e-05,0.000277132441159211
23.5,14.05052,0.0026909746,-0.10684959,4.375594747230683,17.0859375,0.00010289217,0.00020049443057615013
23.7,14.03215,0.0037112639,-0.14115678,5.051186053272398,17.0859375,0.000102319675,0.0005266005870661907
22.1,14.024339,0.0045915795,-0.18512748,4.465453642177454,17.0859375,9.3018054e-05,0.0002609450701410414
23.0,14.007919,0.012895055,-1.4465727,5.431441250598324,25.62890625,9.480193e-05,0.0003330449542150999
23.65,14.001797,0.0032419665,-0.10446054,4.780238133347678,25.62890625,0.000100943165,0.0004260059794432904
21.55,13.9985485,0.0023693342,-0.13941312,3.8125791353521237,25.62890625,0.00010383636,0.00024683393408068255
23.4,13.989356,0.0015758083,-0.08749228,4.634686309302447,25.62890625,0.000103217324,0.0002148201009521513
23.35,13.981477,0.0015597782,-0.090139575,3.9614646793416184,25.62890625,9.43054e-05,0.0003877873040108876
23.85,13.9694605,0.0015061276,-0.08651462,5.0839250055450425,25.62890625,0.00010259832,0.00018515348108833748
24.2,13.959407,0.0011624659,-0.07417287,5.886138936840242,17.0859375,0.00010307787,0.00031002834697005377
24.1,13.939129,0.0026273313,-0.106963865,4.573939271693687,17.0859375,9.647438e-05,0.0004903665771406763
24.8,13.930878,0.003523371,-0.14012398,5.076586219194975,17.0859375,0.00010503614,0.0011574011137862638
25.35,13.923611,0.002879914,-0.11326935,7.830663037791348,17.0859375,0.00010442605,0.00046931934568459943
22.85,13.907792,0.0024092298,-0.099572234,6.056628570377887,17.0859375,0.00010661523,0.00035276578317687524
22.3,13.890816,0.0033451838,-0.14084458,4.859825375287771,17.0859375,9.832045e-05,0.00020515724945466827
24.55,13.895299,0.00532584,-0.20090796,5.072379081633526,17.0859375,0.00010386342,0.00048564659263328045
25.25,13.872794,0.002238691,-0.086161636,5.984541534769809,17.0859375,0.00010716695,0.0003446252479724379
26.2,13.864993,0.0020089187,-0.08489715,5.801613336289473,17.0859375,0.000106310916,0.0002624410922811233
23.7,13.853251,0.0030094923,-0.12628247,4.647935269016621,17.0859375,0.00010231158,0.00021379169406878906
22.15,13.827009,0.0022918796,-0.095705725,6.323306835354986,17.0859375,0.00010197187,0.0002466250901845891
27.45,13.807719,0.0020857656,-0.09004288,9.706058092809558,17.0859375,0.00010070536,0.0006289155204762772
25.1,13.812173,0.009057582,-0.49934757,5.7045251383835005,25.62890625,0.000103347804,0.0009108132434609203
23.6,13.804864,0.0017978033,-0.079425424,5.290302908944365,25.62890625,0.00010482365,0.0002982138067972621
24.65,13.799447,0.002068332,-0.10778336,7.679695531551187,25.62890625,0.0001063454,0.0004579070634519978
24.8,13.7857275,0.0015053365,-0.084486544,6.151087699033505,25.62890625,0.000107946864,0.0003451442436504938
23.95,13.7746,0.0015337353,-0.08541323,6.189207817193475,25.62890625,0.00010284548,0.00023550183367195552
22.85,13.767856,0.001986944,-0.10644561,7.569381008669199,25.62890625,0.00010507174,0.0002451454297549325
22.95,13.752767,0.001960503,-0.097489275,5.592460050572388,25.62890625,0.00010360346,0.0004526166862402346
22.75,13.735028,0.001769418,-0.09698553,4.902903663151025,25.62890625,0.00010210527,0.0001931080315967463
28.8,13.723699,0.0013096151,-0.07732455,10.474170326237617,17.0859375,0.00010826617,0.0005508446586485032
25.85,13.721457,0.002424288,-0.10224255,7.5643899300446735,17.0859375,0.00011093421,0.00042356611229176454
25.35,13.704597,0.0034288503,-0.14386168,6.525700100243938,17.0859375,0.000110781104,0.0006954142471365863
24.35,13.695033,0.0056902673,-0.20838447,6.128989248589777,17.0859375,0.00011057185,0.001131498163143257
25.25,13.691127,0.0040722536,-0.17507187,9.989108748627856,17.0859375,0.00010815755,0.000714955345011935
26.45,13.670411,0.0026053227,-0.099033505,8.94682232325485,17.0859375,0.00011020633,0.0002327895604593896
28.45,13.663654,0.002224384,-0.09297185,9.820535325223474,17.0859375,0.000108102344,0.0003331930411444101
25.7,13.668363,0.006511744,-0.5350196,8.598418833775455,25.62890625,0.000109748085,0.00022597824316466456
23.2,13.653349,0.0019025658,-0.08831786,7.57084628105112,25.62890625,0.00011234687,0.00029766740581520327
23.85,13.639566,0.0019968702,-0.09790451,5.185758056624396,25.62890625,0.00010541047,0.00021893953277979947
23.65,13.632697,0.0019409551,-0.10030971,5.345838340705365,25.62890625,0.00010845004,0.000558151004438208
24.7,13.627226,0.0026902496,-0.13001496,5.578154116798496,25.62890625,0.000106602754,0.0007365818821555048
25.1,13.626791,0.0016876977,-0.093270116,9.133780062851855,25.62890625,0.00010655698,0.00033085749408004743
25.25,13.631541,0.0018057738,-0.10264545,8.267401868707253,25.62890625,0.00011002927,0.00044646181191018296
23.45,13.626303,0.001744315,-0.09224537,6.636023983774338,25.62890625,0.000108143046,0.0003338421524703242
23.35,13.618546,0.001909885,-0.10446531,6.014883047457455,25.62890625,0.000111589834,0.0003206909629919296
24.75,13.610167,0.0018309256,-0.09857066,7.363805211292432,25.62890625,0.00011202752,0.0006784831307623613
24.65,13.603009,0.0020256254,-0.11049146,3.7611310314369724,25.62890625,0.00011353169,0.000503841107279061
24.15,13.607347,0.0050805863,-0.2368036,7.817192427937814,25.62890625,0.00011194236,0.0010522016201327366
